t0, t, x, y, z, qx, qy, qz, qw
172.025,0.942,0.0219555,-0.208902,1.65409,-0.250045,0.0875926,0.138212,-0.954307
172.033,0.95,0.0219608,-0.208924,1.65407,-0.25024,0.0879691,0.138185,-0.954226
172.042,0.959,0.0219722,-0.208948,1.65402,-0.249337,0.0881136,0.138033,-0.954471
172.05,0.967,0.021981,-0.208977,1.65403,-0.248692,0.0887371,0.137781,-0.954617
172.058,0.975,0.021992,-0.208992,1.65393,-0.248698,0.0886972,0.137802,-0.954617
172.067,0.984,0.0219897,-0.209026,1.65396,-0.247048,0.088954,0.137338,-0.955088
172.075,0.992,0.0219907,-0.20905,1.65394,-0.247703,0.0894082,0.137407,-0.954866
172.083,1,0.0219891,-0.209031,1.65301,-0.25504,0.0937531,0.137281,-0.952533
172.092,1.009,0.0219819,-0.209077,1.65393,-0.247472,0.0893357,0.13718,-0.954965
172.1,1.017,0.0219719,-0.209043,1.65302,-0.25487,0.0931533,0.137142,-0.952657
172.108,1.025,0.0219751,-0.209044,1.653,-0.255143,0.0929065,0.137065,-0.95262
172.117,1.034,0.0219605,-0.209046,1.65309,-0.255118,0.0933721,0.136845,-0.952612
172.125,1.042,0.0219636,-0.209049,1.65309,-0.254648,0.093171,0.136541,-0.952801
172.133,1.05,0.0219264,-0.209135,1.65304,-0.266881,0.0944117,0.137302,-0.949215
172.142,1.059,0.0219241,-0.209142,1.65303,-0.266808,0.0943885,0.137128,-0.949263
172.15,1.067,0.0219173,-0.20914,1.65308,-0.266916,0.0944583,0.136871,-0.949263
172.158,1.075,0.0219082,-0.209119,1.65311,-0.266461,0.0945276,0.136418,-0.949449
172.167,1.084,0.0218854,-0.209096,1.65318,-0.266725,0.0942825,0.136172,-0.949434
172.175,1.092,0.0218763,-0.208883,1.65241,-0.25971,0.100205,0.133809,-0.951107
172.183,1.1,0.0218146,-0.208818,1.65368,-0.251555,0.0919888,0.133733,-0.954135
172.192,1.109,0.0217419,-0.208656,1.65386,-0.254973,0.0902665,0.133361,-0.953444
172.2,1.117,0.0215596,-0.208534,1.65478,-0.265043,0.0868781,0.133431,-0.951
172.208,1.125,0.0216043,-0.207705,1.65362,-0.257438,0.102409,0.128643,-0.952202
172.217,1.134,0.0214359,-0.207135,1.65371,-0.266879,0.103333,0.125933,-0.949863
172.225,1.142,0.021098,-0.20655,1.65463,-0.305242,0.105559,0.123568,-0.938305
172.233,1.15,0.0205231,-0.205652,1.6551,-0.341269,0.101474,0.120938,-0.926614
172.242,1.159,0.0202009,-0.204183,1.65653,-0.324529,0.0965216,0.113734,-0.934039
172.25,1.167,0.0193591,-0.202536,1.65596,-0.317485,0.109927,0.0990188,-0.936651
172.258,1.175,0.0179534,-0.201327,1.65529,-0.337964,0.0659648,0.098643,-0.933648
172.267,1.184,0.0177412,-0.19931,1.65666,-0.299564,0.0655617,0.0820728,-0.948276
172.275,1.192,0.016918,-0.197252,1.65652,-0.28371,0.0440962,0.0719676,-0.955188
172.283,1.2,0.0160616,-0.194534,1.65472,-0.261133,0.0477776,0.0563065,-0.962474
172.292,1.209,0.0153464,-0.191869,1.65519,-0.268523,0.0433713,0.0475372,-0.961122
172.3,1.217,0.0146979,-0.188642,1.65501,-0.271575,0.0397678,0.0391362,-0.960799
172.308,1.225,0.0141987,-0.184616,1.65411,-0.272191,0.0398479,0.0340129,-0.960816
172.317,1.234,0.0139643,-0.180056,1.65395,-0.26072,0.0330294,0.0311399,-0.964347
172.325,1.242,0.0137293,-0.175768,1.65356,-0.264785,0.0340286,0.0274623,-0.963316
172.333,1.25,0.0139645,-0.171298,1.65314,-0.262231,0.0299046,0.0242038,-0.964238
172.342,1.259,0.0140971,-0.16728,1.65349,-0.279828,0.0335566,0.0216363,-0.95922
172.35,1.267,0.0146041,-0.162475,1.65255,-0.260501,0.0289579,0.0179217,-0.964873
172.358,1.275,0.014908,-0.158078,1.65201,-0.269063,0.0319746,0.0172949,-0.962436
172.367,1.284,0.0155334,-0.153629,1.65175,-0.26601,0.032092,0.0170631,-0.963285
172.375,1.292,0.016026,-0.149397,1.65111,-0.277332,0.0382316,0.0177416,-0.959849
172.383,1.3,0.0168276,-0.145167,1.65098,-0.277837,0.042994,0.0185015,-0.959487
172.392,1.309,0.0173302,-0.14151,1.65046,-0.304097,0.0487026,0.0216513,-0.951149
172.4,1.317,0.018054,-0.137731,1.64894,-0.309564,0.0578969,0.0219921,-0.94886
172.408,1.325,0.0191504,-0.134148,1.64965,-0.288389,0.0599367,0.0216552,-0.95539
172.417,1.334,0.019806,-0.131042,1.64923,-0.306476,0.0632779,0.0262685,-0.949409
172.425,1.342,0.0205687,-0.128177,1.64843,-0.31509,0.0713743,0.0276673,-0.94597
172.433,1.35,0.0213632,-0.12558,1.64788,-0.318851,0.0808724,0.0289641,-0.943904
172.442,1.359,0.0222703,-0.123429,1.64913,-0.317845,0.0665124,0.0363489,-0.945108
172.45,1.367,0.0227225,-0.121595,1.64537,-0.333584,0.0925089,0.0330315,-0.937589
172.458,1.375,0.0235322,-0.120228,1.64631,-0.331899,0.0938235,0.0361675,-0.93794
172.467,1.384,0.0241001,-0.119137,1.64394,-0.340992,0.105214,0.0374289,-0.933409
172.475,1.392,0.0249398,-0.118461,1.64608,-0.337121,0.104168,0.0428141,-0.934701
172.483,1.4,0.0253418,-0.11837,1.64499,-0.339156,0.106484,0.0455588,-0.933573
172.492,1.409,0.0258865,-0.11866,1.64534,-0.340347,0.108092,0.0492777,-0.932766
172.5,1.417,0.0261586,-0.11927,1.64344,-0.344896,0.111625,0.0533208,-0.930453
172.508,1.425,0.026645,-0.120467,1.64373,-0.341458,0.117694,0.0551407,-0.930868
172.517,1.434,0.0271227,-0.122202,1.64645,-0.343953,0.115554,0.0606689,-0.929873
172.525,1.442,0.0272491,-0.123902,1.64368,-0.339729,0.131616,0.06185,-0.929213
172.533,1.45,0.0277497,-0.126567,1.64646,-0.374767,0.13459,0.0660048,-0.91492
172.542,1.459,0.0280288,-0.129673,1.64909,-0.379638,0.117745,0.075241,-0.914522
172.55,1.467,0.0280159,-0.132825,1.64966,-0.381636,0.118591,0.0802323,-0.913155
172.558,1.475,0.027918,-0.136145,1.64985,-0.380223,0.125419,0.0841337,-0.912481
172.567,1.484,0.0274814,-0.13922,1.64754,-0.358057,0.153546,0.0828355,-0.917255
172.575,1.492,0.026935,-0.142987,1.64539,-0.335853,0.154083,0.0875066,-0.925097
172.583,1.5,0.0265766,-0.147887,1.64832,-0.377438,0.146742,0.0924049,-0.909653
172.592,1.509,0.0257932,-0.151882,1.64699,-0.330581,0.154356,0.0960311,-0.926104
172.6,1.517,0.0251773,-0.157078,1.65027,-0.376281,0.148493,0.101147,-0.908918
172.608,1.525,0.024294,-0.161244,1.65011,-0.316378,0.163382,0.104013,-0.928651
172.617,1.534,0.023153,-0.166432,1.65176,-0.357759,0.154013,0.111362,-0.914269
172.625,1.542,0.023153,-0.166432,1.65176,-0.357759,0.154013,0.111362,-0.914269
172.633,1.55,0.023153,-0.166432,1.65176,-0.357759,0.154013,0.111362,-0.914269
172.642,1.559,0.023153,-0.166432,1.65176,-0.357759,0.154013,0.111362,-0.914269
172.65,1.567,0.023153,-0.166432,1.65176,-0.357759,0.154013,0.111362,-0.914269
172.658,1.575,0.023153,-0.166432,1.65176,-0.357759,0.154013,0.111362,-0.914269
172.667,1.584,0.023153,-0.166432,1.65176,-0.357759,0.154013,0.111362,-0.914269
172.675,1.592,0.023153,-0.166432,1.65176,-0.357759,0.154013,0.111362,-0.914269
172.683,1.6,0.023153,-0.166432,1.65176,-0.357759,0.154013,0.111362,-0.914269
172.692,1.609,0.0078875,-0.205563,1.66094,-0.292203,0.118808,0.145046,-0.937797
172.7,1.617,0.00814388,-0.206017,1.65946,-0.252068,0.126653,0.134845,-0.949862
172.708,1.625,0.0079907,-0.206491,1.66031,-0.278207,0.104804,0.139357,-0.944562
172.717,1.634,0.00798404,-0.20658,1.66005,-0.278887,0.103762,0.140993,-0.944233
172.725,1.642,0.00780493,-0.207221,1.65955,-0.271071,0.100535,0.139546,-0.947069
172.733,1.65,0.00771386,-0.207747,1.6583,-0.268033,0.104659,0.138672,-0.947615
172.742,1.659,0.00763311,-0.20802,1.65817,-0.257965,0.103075,0.137583,-0.950737
172.75,1.667,0.00760502,-0.208174,1.65807,-0.254467,0.103158,0.137509,-0.951681
172.758,1.675,0.00754008,-0.208225,1.6583,-0.240084,0.10715,0.135279,-0.95529
172.767,1.684,0.00751293,-0.208271,1.6583,-0.239231,0.106915,0.135651,-0.955477
172.775,1.692,0.00750331,-0.208294,1.65829,-0.23804,0.10635,0.135812,-0.955815
172.783,1.7,0.00750708,-0.208339,1.65822,-0.236854,0.107002,0.135605,-0.956066
172.792,1.709,0.00750025,-0.208405,1.65825,-0.234896,0.106862,0.135563,-0.95657
172.8,1.717,0.00749751,-0.208418,1.65826,-0.23453,0.106896,0.135393,-0.956681
172.808,1.725,0.0074913,-0.208431,1.65831,-0.234731,0.107211,0.135196,-0.956624
172.817,1.734,0.00750637,-0.208381,1.65823,-0.23544,0.107457,0.134934,-0.956459
172.825,1.742,0.00752092,-0.208374,1.65822,-0.235627,0.107802,0.134624,-0.956418
172.833,1.75,0.00755444,-0.208389,1.65812,-0.234945,0.107875,0.13421,-0.956636
172.842,1.759,0.00755636,-0.208443,1.65779,-0.234358,0.11016,0.133416,-0.95663
172.85,1.767,0.00758502,-0.208468,1.65773,-0.233585,0.110554,0.133113,-0.956816
172.858,1.775,0.00760027,-0.208471,1.65766,-0.233509,0.110336,0.133124,-0.956858
172.867,1.784,0.00760021,-0.208433,1.65764,-0.233441,0.110055,0.133076,-0.956914
172.875,1.792,0.00760386,-0.208429,1.65762,-0.233882,0.110406,0.133047,-0.95677
172.883,1.8,0.00759932,-0.208416,1.65759,-0.234589,0.110313,0.133126,-0.956596
172.892,1.809,0.00759792,-0.208447,1.65768,-0.234817,0.11034,0.133134,-0.956536
172.9,1.817,0.00759655,-0.208448,1.65768,-0.235195,0.110662,0.132921,-0.956436
172.908,1.825,0.00759763,-0.208436,1.65768,-0.236404,0.110694,0.13293,-0.956133
172.917,1.834,0.00760226,-0.208399,1.6577,-0.236804,0.110545,0.132778,-0.956072
172.925,1.842,0.00761381,-0.208382,1.65772,-0.236789,0.111097,0.132561,-0.956042
172.933,1.85,0.00762541,-0.208359,1.6576,-0.237566,0.110892,0.132491,-0.955883
172.942,1.859,0.00763988,-0.208403,1.65759,-0.237423,0.111208,0.132386,-0.955896
172.95,1.867,0.00765233,-0.208438,1.65749,-0.237712,0.111237,0.13244,-0.955813
172.958,1.875,0.00765944,-0.208481,1.65748,-0.237129,0.111528,0.13227,-0.955948
172.967,1.884,0.00767031,-0.208492,1.65745,-0.2374,0.111859,0.132168,-0.955856
172.975,1.892,0.00766915,-0.208506,1.6574,-0.237768,0.111588,0.132208,-0.955791
172.983,1.9,0.0076652,-0.208524,1.65743,-0.23756,0.111825,0.13214,-0.955824
172.992,1.909,0.00766392,-0.208541,1.65741,-0.237402,0.111723,0.132082,-0.955883
173,1.917,0.00764825,-0.208536,1.65739,-0.237823,0.111441,0.132095,-0.95581
173.008,1.925,0.00764446,-0.208545,1.65745,-0.238426,0.111362,0.132153,-0.955661
173.017,1.934,0.00762949,-0.208513,1.65745,-0.238598,0.111048,0.132096,-0.955662
173.025,1.942,0.00761648,-0.20849,1.65749,-0.238655,0.111351,0.132025,-0.955622
173.033,1.95,0.00761633,-0.208484,1.65746,-0.23884,0.111075,0.132073,-0.955602
173.042,1.959,0.00761518,-0.208504,1.65749,-0.238782,0.111576,0.131839,-0.95559
173.05,1.967,0.00761892,-0.208524,1.65748,-0.239125,0.111458,0.131986,-0.955498
173.058,1.975,0.007619,-0.208529,1.65751,-0.238946,0.11138,0.131942,-0.955558
173.067,1.984,0.00761205,-0.208516,1.65749,-0.239026,0.111002,0.13189,-0.955589
173.075,1.992,0.00760303,-0.208502,1.65753,-0.240791,0.110596,0.13214,-0.955158
173.083,2,0.00760472,-0.20849,1.65751,-0.238686,0.111603,0.131707,-0.955629
