t0, t, x, y, z, qx, qy, qz, qw
1130.95,2.25,-0.144282,0.264114,1.45143,0.242593,0.307962,0.845713,-0.362048
1130.96,2.26,-0.14436,0.263644,1.45146,0.245169,0.306102,0.846003,-0.361211
1130.97,2.27,-0.144459,0.263376,1.45158,0.248565,0.304005,0.845862,-0.360989
1130.97,2.27,-0.144653,0.263291,1.45173,0.251681,0.30209,0.845262,-0.361843
1130.98,2.28,-0.144979,0.263365,1.45193,0.25531,0.300334,0.844024,-0.363648
1130.99,2.29,-0.145393,0.263514,1.45213,0.257235,0.299479,0.842735,-0.365979
1131,2.3,-0.145881,0.263654,1.45236,0.258753,0.298713,0.841464,-0.368452
1131.01,2.31,-0.146389,0.263675,1.45245,0.25915,0.297972,0.840609,-0.370715
1131.02,2.32,-0.146847,0.263595,1.4526,0.259687,0.298926,0.839827,-0.371345
1131.03,2.33,-0.147214,0.263377,1.45256,0.259483,0.300091,0.839582,-0.371102
1131.03,2.33,-0.147514,0.263137,1.45259,0.259683,0.300855,0.839507,-0.370511
1131.04,2.34,-0.147803,0.262963,1.45262,0.260964,0.301249,0.839154,-0.370091
1131.05,2.35,-0.148099,0.262865,1.45253,0.26146,0.301612,0.838626,-0.370642
1131.06,2.36,-0.148409,0.262896,1.45256,0.262006,0.301839,0.83767,-0.37223
1131.07,2.37,-0.148677,0.262997,1.45256,0.262601,0.301487,0.836729,-0.374206
1131.08,2.38,-0.148829,0.263132,1.45246,0.263371,0.301408,0.836065,-0.375213
1131.08,2.38,-0.148852,0.263357,1.45243,0.264388,0.301088,0.835933,-0.375047
1131.09,2.39,-0.148788,0.26371,1.45243,0.265181,0.299879,0.83655,-0.374079
1131.1,2.4,-0.148688,0.264158,1.45247,0.26553,0.299483,0.837203,-0.372686
1131.11,2.41,-0.148571,0.264681,1.45266,0.265298,0.298509,0.837885,-0.3721
1131.12,2.42,-0.148462,0.265151,1.45278,0.264271,0.2978,0.838489,-0.372039
1131.13,2.43,-0.148363,0.265526,1.45303,0.263984,0.297761,0.838681,-0.37184
1131.13,2.43,-0.148255,0.265698,1.45325,0.263528,0.297711,0.839024,-0.371431
1131.14,2.44,-0.148124,0.26565,1.45348,0.262959,0.297373,0.839696,-0.370583
1131.15,2.45,-0.147986,0.265375,1.45367,0.26266,0.296492,0.840618,-0.36941
1131.16,2.46,-0.147843,0.264938,1.45391,0.262396,0.296251,0.841779,-0.367142
1131.17,2.47,-0.147693,0.264372,1.45398,0.261596,0.295743,0.843364,-0.364473
